Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-
-0,295867919921875;70,1080518229942;9,99969482421875E-05;-0,297149658203125;1;1;2,75801917212084;-2,05382143426686
-0,2947998046875;71,1761668202975;0,000205291748046875;-0,2947998046875;1;2;2,75801917212084;-2,05382143426686
-0,293731689453125;72,2442818176007;0,00025042724609375;-0,293731689453125;1;3;2,75801917212084;-2,05382143426686
-0,29266357421875;73,312396814904;0,000281463623046875;-0,29266357421875;1;4;2,75801917212084;-2,05382143426686
-0,291595458984375;74,3805118122073;0,000304168701171875;-0,29168701171875;1;5;2,75801917212084;-2,05382143426686
-0,29052734375;75,4486268095105;0,00032122802734375;-0,29034423828125;1;6;2,75801917212084;-2,05382143426686
-0,289459228515625;76,5167418068138;0,000334686279296875;-0,289215087890625;1;7;2,75801917212084;-2,05382143426686
-0,28839111328125;77,5848568041171;0,000345184326171875;-0,28814697265625;1;8;2,75801917212084;-2,05382143426686
-0,287322998046875;78,6529718014203;0,000355804443359375;-0,287109375;1;9;2,75801917212084;-2,05382143426686
-0,2862548828125;79,7210867987236;0,000364105224609375;-0,2860107421875;1;10;2,75801917212084;-2,05382143426686
-0,285186767578125;80,7892017960269;0,000372589111328125;-0,28497314453125;1;11;2,75801917212084;-2,05382143426686
-0,28411865234375;81,8573167933301;0,0003800048828125;-0,283843994140625;1;12;2,75801917212084;-2,05382143426686
-0,283050537109375;82,9254317906334;0,00038775634765625;-0,282806396484375;1;13;2,75801917212084;-2,05382143426686
-0,281982421875;83,9935467879367;0,00039556884765625;-0,28173828125;1;14;2,75801917212084;-2,05382143426686
-0,280914306640625;85,0616617852399;0,000403564453125;-0,280731201171875;1;15;2,75801917212084;-2,05382143426686
-0,27984619140625;86,1297767825432;0,000410888671875;-0,279632568359375;1;16;2,75801917212084;-2,05382143426686
-0,278778076171875;87,1978917798465;0,000418701171875;-0,278564453125;1;17;2,75801917212084;-2,05382143426686
-0,2777099609375;88,2660067771498;0,000426910400390625;-0,277435302734375;1;18;2,75801917212084;-2,05382143426686
-0,276641845703125;89,334121774453;0,000434783935546875;-0,27642822265625;1;19;2,75801917212084;-2,05382143426686
-0,27557373046875;90,4022367717563;0,00044384765625;-0,275390625;1;20;2,75801917212084;-2,05382143426686
-0,274505615234375;91,4703517690596;0,00045233154296875;-0,2742919921875;1;21;2,75801917212084;-2,05382143426686
-0,2734375;92,5384667663628;0,00046051025390625;-0,27325439453125;1;22;2,75801917212084;-2,05382143426686
-0,272369384765625;93,6065817636661;0,000469940185546875;-0,272186279296875;1;23;2,75801917212084;-2,05382143426686
-0,27130126953125;94,6746967609694;0,000479156494140625;-0,27105712890625;1;24;2,75801917212084;-2,05382143426686
-0,270233154296875;95,7428117582726;0,00048822021484375;-0,270050048828125;1;25;2,75801917212084;-2,05382143426686
-0,2691650390625;96,8109267555759;0,00049774169921875;-0,268951416015625;1;26;2,75801917212084;-2,05382143426686
-0,268096923828125;97,8790417528792;0,0005078125;-0,267974853515625;1;27;2,75801917212084;-2,05382143426686
-0,26702880859375;98,9471567501824;0,000517578125;-0,266845703125;1;28;2,75801917212084;-2,05382143426686
-0,265960693359375;100,015271747486;0,00052734375;-0,265777587890625;1;29;2,75801917212084;-2,05382143426686
-0,264892578125;101,083386744789;0,00053741455078125;-0,26470947265625;1;30;2,75801917212084;-2,05382143426686
-0,263824462890625;102,151501742092;0,00054718017578125;-0,263671875;1;31;2,75801917212084;-2,05382143426686
-0,26275634765625;103,219616739396;0,000557861328125;-0,262603759765625;1;32;2,75801917212084;-2,05382143426686
-0,261688232421875;104,287731736699;0,00056884765625;-0,26153564453125;1;33;2,75801917212084;-2,05382143426686
-0,2606201171875;105,355846734002;0,00058013916015625;-0,260528564453125;1;34;2,75801917212084;-2,05382143426686
-0,259552001953125;106,423961731305;0,00059112548828125;-0,259429931640625;1;35;2,75801917212084;-2,05382143426686
-0,25848388671875;107,492076728609;0,00060333251953125;-0,258331298828125;1;36;2,75801917212084;-2,05382143426686
-0,257415771484375;108,560191725912;0,0006146240234375;-0,25726318359375;1;37;2,75801917212084;-2,05382143426686
-0,25634765625;109,628306723215;0,0006268310546875;-0,2562255859375;1;38;2,75801917212084;-2,05382143426686
-0,255279541015625;110,696421720518;0,0006390380859375;-0,255126953125;1;39;2,75801917212084;-2,05382143426686
-0,25421142578125;111,764536717822;0,0006512451171875;-0,254058837890625;1;40;2,75801917212084;-2,05382143426686
-0,253143310546875;112,832651715125;0,0006640625;-0,252960205078125;1;41;2,75801917212084;-2,05382143426686
-0,2520751953125;113,900766712428;0,000677490234375;-0,251953125;1;42;2,75801917212084;-2,05382143426686
-0,251007080078125;114,968881709731;0,0006915283203125;-0,250885009765625;1;43;2,75801917212084;-2,05382143426686
-0,24993896484375;116,036996707035;0,00070526123046875;-0,2498779296875;1;44;2,75801917212084;-2,05382143426686
-0,248870849609375;117,105111704338;0,00072021484375;-0,248748779296875;1;45;2,75801917212084;-2,05382143426686
-0,247802734375;118,173226701641;0,0007342529296875;-0,247711181640625;1;46;2,75801917212084;-2,05382143426686
-0,246734619140625;119,241341698945;0,00074951171875;-0,246673583984375;1;47;2,75801917212084;-2,05382143426686
-0,24566650390625;120,309456696248;0,0007647705078125;-0,245635986328125;1;48;2,75801917212084;-2,05382143426686
-0,244598388671875;121,377571693551;0,00078033447265625;-0,2445068359375;1;49;2,75801917212084;-2,05382143426686
-0,2435302734375;122,445686690854;0,00079498291015625;-0,243438720703125;1;50;2,75801917212084;-2,05382143426686
-0,242462158203125;123,513801688158;0,00081146240234375;-0,24237060546875;1;51;2,75801917212084;-2,05382143426686
-0,24139404296875;124,581916685461;0,0008282470703125;-0,241302490234375;1;52;2,75801917212084;-2,05382143426686
-0,240325927734375;125,650031682764;0,0008447265625;-0,240264892578125;1;53;2,75801917212084;-2,05382143426686
-0,2392578125;126,718146680067;0,00086273193359375;-0,239166259765625;1;54;2,75801917212084;-2,05382143426686
-0,238189697265625;127,786261677371;0,00088043212890625;-0,238067626953125;1;55;2,75801917212084;-2,05382143426686
-0,23712158203125;128,854376674674;0,00089813232421875;-0,237060546875;1;56;2,75801917212084;-2,05382143426686
-0,236053466796875;129,922491671977;0,00091644287109375;-0,23602294921875;1;57;2,75801917212084;-2,05382143426686
-0,2349853515625;130,990606669281;0,00093475341796875;-0,234893798828125;1;58;2,75801917212084;-2,05382143426686
-0,233917236328125;132,058721666584;0,0009539794921875;-0,23382568359375;1;59;2,75801917212084;-2,05382143426686
-0,23284912109375;133,126836663887;0,000972900390625;-0,232757568359375;1;60;2,75801917212084;-2,05382143426686
-0,231781005859375;134,19495166119;0,0009930419921875;-0,231719970703125;1;61;2,75801917212084;-2,05382143426686
-0,230712890625;135,263066658494;0,0010125732421875;-0,230682373046875;1;62;2,75801917212084;-2,05382143426686
-0,229644775390625;136,331181655797;0,00103240966796875;-0,2296142578125;1;63;2,75801917212084;-2,05382143426686
-0,22857666015625;137,3992966531;0,001053466796875;-0,228515625;1;64;2,75801917212084;-2,05382143426686
-0,227508544921875;138,467411650403;0,00107330322265625;-0,2274169921875;1;65;2,75801917212084;-2,05382143426686
-0,2264404296875;139,535526647707;0,00109344482421875;-0,226318359375;1;66;2,75801917212084;-2,05382143426686
-0,225372314453125;140,60364164501;0,0011138916015625;-0,225311279296875;1;67;2,75801917212084;-2,05382143426686
-0,22430419921875;141,671756642313;0,00113494873046875;-0,2242431640625;1;68;2,75801917212084;-2,05382143426686
-0,223236083984375;142,739871639616;0,00115570068359375;-0,22314453125;1;69;2,75801917212084;-2,05382143426686
-0,22216796875;143,80798663692;0,00117767333984375;-0,22210693359375;1;70;2,75801917212084;-2,05382143426686
-0,221099853515625;144,876101634223;0,0011993408203125;-0,2210693359375;1;71;2,75801917212084;-2,05382143426686
-0,22003173828125;145,944216631526;0,00122100830078125;-0,219970703125;1;72;2,75801917212084;-2,05382143426686
-0,218963623046875;147,01233162883;0,00124359130859375;-0,21893310546875;1;73;2,75801917212084;-2,05382143426686
-0,2178955078125;148,080446626133;0,0012646484375;-0,21783447265625;1;74;2,75801917212084;-2,05382143426686
-0,216827392578125;149,148561623436;0,00128631591796875;-0,216766357421875;1;75;2,75801917212084;-2,05382143426686
-0,21575927734375;150,216676620739;0,00130828857421875;-0,215728759765625;1;76;2,75801917212084;-2,05382143426686
-0,214691162109375;151,284791618043;0,0013287353515625;-0,214691162109375;1;77;2,75801917212084;-2,05382143426686
-0,213623046875;152,352906615346;0,00135040283203125;-0,213623046875;1;78;2,75801917212084;-2,05382143426686
-0,212554931640625;153,421021612649;0,00137237548828125;-0,2125244140625;1;79;2,75801917212084;-2,05382143426686
-0,21148681640625;154,489136609952;0,00139404296875;-0,21148681640625;1;80;2,75801917212084;-2,05382143426686
-0,210418701171875;155,557251607256;0,00141571044921875;-0,21038818359375;1;81;2,75801917212084;-2,05382143426686
-0,2093505859375;156,625366604559;0,00143798828125;-0,2093505859375;1;82;2,75801917212084;-2,05382143426686
-0,208282470703125;157,693481601862;0,00145904541015625;-0,208282470703125;1;83;2,75801917212084;-2,05382143426686
-0,20721435546875;158,761596599166;0,0014794921875;-0,20721435546875;1;84;2,75801917212084;-2,05382143426686
-0,206146240234375;159,829711596469;0,001500244140625;-0,206146240234375;1;85;2,75801917212084;-2,05382143426686
-0,205078125;160,897826593772;0,00152008056640625;-0,205108642578125;1;86;2,75801917212084;-2,05382143426686
-0,204010009765625;161,965941591075;0,0015399169921875;-0,2039794921875;1;87;2,75801917212084;-2,05382143426686
-0,20294189453125;163,034056588379;0,00155914306640625;-0,20294189453125;1;88;2,75801917212084;-2,05382143426686
-0,201873779296875;164,102171585682;0,001578369140625;-0,20184326171875;1;89;2,75801917212084;-2,05382143426686
-0,2008056640625;165,170286582985;0,00159698486328125;-0,2008056640625;1;90;2,75801917212084;-2,05382143426686
-0,199737548828125;166,238401580288;0,001617431640625;-0,199798583984375;1;91;2,75801917212084;-2,05382143426686
-0,19866943359375;167,306516577592;0,00163482666015625;-0,1986083984375;1;92;2,75801917212084;-2,05382143426686
-0,197601318359375;168,374631574895;0,00165313720703125;-0,1976318359375;1;93;2,75801917212084;-2,05382143426686
-0,196533203125;169,442746572198;0,0016705322265625;-0,196533203125;1;94;2,75801917212084;-2,05382143426686
-0,195465087890625;170,510861569501;0,00168731689453125;-0,19549560546875;1;95;2,75801917212084;-2,05382143426686
-0,19439697265625;171,578976566805;0,0017041015625;-0,19439697265625;1;96;2,75801917212084;-2,05382143426686
-0,193328857421875;172,647091564108;0,00172027587890625;-0,193267822265625;1;97;2,75801917212084;-2,05382143426686
-0,1922607421875;173,715206561411;0,00173583984375;-0,192230224609375;1;98;2,75801917212084;-2,05382143426686
-0,191192626953125;174,783321558715;0,00175048828125;-0,191253662109375;1;99;2,75801917212084;-2,05382143426686
-0,19012451171875;175,851436556018;0,001766357421875;-0,190093994140625;1;100;2,75801917212084;-2,05382143426686
-0,189056396484375;176,919551553321;0,00177978515625;-0,189056396484375;1;101;2,75801917212084;-2,05382143426686
-0,18798828125;177,987666550624;0,00179351806640625;-0,187957763671875;1;102;2,75801917212084;-2,05382143426686
-0,186920166015625;179,055781547928;0,00180633544921875;-0,186920166015625;1;103;2,75801917212084;-2,05382143426686
-0,18585205078125;180,123896545231;0,0018182373046875;-0,1859130859375;1;104;2,75801917212084;-2,05382143426686
-0,184783935546875;181,192011542534;0,0018292236328125;-0,18487548828125;1;105;2,75801917212084;-2,05382143426686
-0,1837158203125;182,260126539837;0,00183929443359375;-0,18377685546875;1;106;2,75801917212084;-2,05382143426686
-0,182647705078125;183,328241537141;0,00184967041015625;-0,18267822265625;1;107;2,75801917212084;-2,05382143426686
-0,18157958984375;184,396356534444;0,00185882568359375;-0,181610107421875;1;108;2,75801917212084;-2,05382143426686
-0,180511474609375;185,464471531747;0,00186767578125;-0,180572509765625;1;109;2,75801917212084;-2,05382143426686
-0,179443359375;186,53258652905;0,00187469482421875;-0,179534912109375;1;110;2,75801917212084;-2,05382143426686
-0,178375244140625;187,600701526354;0,001881103515625;-0,178436279296875;1;111;2,75801917212084;-2,05382143426686
